id,label,group,year
be793e66-5923-450e-9ac3-b2a92814d26c,be793e66-5923-450e-9ac3-b2a92814d26c,N/A,
06bac28e-3c8c-44cd-b9f3-bb0f1c8e5ccb,265180,N/A,2008
890693e8-99a8-4aac-89e9-7f4fdee7f778,647058,1,2018
bd840013-c7b1-4048-beae-2dc0a27f986b,640457,L,2016
553255b3-a87f-471a-af6f-a4792bf9c891,670791,3,2024
d54f1a94-292f-42c5-9ef2-cee91a7339d6,643080,L,2017
af211472-406d-4e99-89d1-52d426a1e08f,654539,1,2019
c05e2dd1-d7e7-4a97-bcbd-99db4c19263c,651885,1,2018
79d49a0e-3d19-47a0-a361-2dc5b48a6ac5,635918,U,2014
d4859016-e960-4093-bd33-956bf774b21b,644440,1,2017
79d7e2fb-9d52-4a89-a6a2-255d9caa51b4,640677,L,2016
a1b571f6-af1f-4578-b31c-8df34d5b6fdc,657115,2,2020
35921b94-da33-490b-b6b8-603d27fde3ad,620413,N/A,
c01670b7-8420-4f7a-80b6-51e06eb8d3ec,643723,1,2017
3cb19f42-9dca-4c47-9770-0b255853851d,639281,U,2016
8fda4843-06bf-4bb7-83a4-dfbb23ce4ca0,636199,1,2015
b41cf3f5-8f5c-4e6d-8fea-b3a1dcb15989,653259,3,2019
db1a88cc-c326-416f-b45a-ef50173a2176,654344,62,2019
f395c606-e69a-4d9f-8da1-4fae49000fad,664754,U,2022
ad6e1f4e-5a95-4c54-b57e-a9a88133874f,669554,L,2023
88ba22a0-0740-48db-b290-4215eadc8b70,645632,2,2017
468d0b21-8145-44a1-b828-36c792958b2e,667447,U,2023
ae6499b7-1949-49ab-b15c-cb73f398500e,670363,65,2017
4ca08643-c92c-4531-9095-a9a3d347d049,626816,N/A,1988
51a96884-e287-4b84-863a-ef773ba1b778,598217,3,2007
a5a1db59-192d-48e0-8989-1eb4a23465cb,668046,2,2023
646ab7b2-0183-424e-9dbf-5b6cf411fdcf,646ab7b2-0183-424e-9dbf-5b6cf411fdcf,N/A,
f118c434-2443-4392-8724-2c9a88fe530b,641617,L,2016
ebf8d2bc-4ebe-4e96-b72c-badd2690176b,619646,U,2011
2cc6330d-98b8-49b7-8a60-1311a058825d,640414,L,2016
d848a0b0-0cc6-4651-8718-7b9e209c260c,638482,1,2016
69713243-6c58-47ec-a125-5c6a2d78b4fc,655362,2,2019
f78c8b77-4a34-4261-8559-ab52d0bf4669,244516,N/A,
eaf3dfca-11f9-457a-9e55-14cde694b338,630889,N/A,
fffabd8b-3d6f-4a32-9a2a-4d130019e469,670375,2,2024
38e5244d-16da-49b1-93fc-246cb625b253,661306,U,2021
acc75df8-ee70-4e42-933f-57a393f1e729,623912,N/A,
57f5e833-e61f-440a-9279-82dcdc41be50,668489,2,2023
c19ce477-90ee-4a7d-9fb1-dae6c64388db,671564,3,2024
a79175c4-bd5f-465c-8abd-522345448b94,672406,1,2024
c2b85a8a-1b7d-4f5a-ab14-d72baa1a7645,656729,L,2000
4259f1fc-85a5-4a38-8aaa-01dce01a99d3,648650,U,2018
6743eb62-d624-4b96-bd1f-83e33f1da6a4,621618,N/A,
50ed7650-29a7-40b2-8eda-12f725c4d9c3,670575,2,2024
46a773cc-fa4e-4a84-82e1-02f2fa44afa7,673321,L,2024
bdb3a2a0-155b-457f-86e2-8116511e8d8c,652492,U,2019
861e8887-159d-4963-adaf-a9750086d3a7,663503,L,2021
7abdbec3-26d1-4efb-9565-401751bdcac6,629155,N/A,
ebfe9113-fbfa-4082-9d60-a0016a388098,648797,3,2018
292fd8f0-09df-4b49-afe8-7709a45864a2,661197,L,2021
42ba41c5-e2a0-440c-bf08-355ce345b4b1,2809310,N/A,2014
fda19125-56f2-4bd1-8f03-4aee4b4c979e,667567,2,2023
3885645a-ef3f-4acf-8e1a-6174fc68952b,656761,3,2020
05615fa0-426e-4c2a-8c10-3ede2f514348,664972,1,2022
62b004f3-cee4-470a-bc77-9bb0cc797162,668060,2,2023
2660b37a-af88-49cf-b7f8-72a489dadf48,663949,1,2022
dfb1e4a0-4662-46a9-964c-9db3b4ccbd6d,630704,N/A,
d0e402b2-3902-413e-9af8-a26e4863ea90,652563,L,2019
d8a3db01-147e-4092-bdc4-14cc581e5bcb,657195,U,2020
58484630-a66b-4ca0-8110-f31f16dcd0e7,641657,U,2016
a2fe0af8-98e5-4914-ad07-31afc8b00f2e,632891,N/A,
f643badb-fe63-483e-b7fb-78476dccab51,662178,L,2021
c78d4b19-0475-429d-98e8-68ea3bab7491,619704,N/A,1998
c94b1d69-b7a6-4d05-9622-88888c039c5e,662842,62,2021
0c3ef3da-4004-454f-b9f3-b4d0590839b2,650419,3,2018
6b8286c9-942a-42db-a807-914cb59ef04f,617868,1,2011
7724f4aa-9843-4f73-962c-82827ffcae16,645321,U,2017
7760d0ee-3feb-48fd-88fa-01e6274fec1f,644180,62,2017
9786f5c5-0b62-49bd-a9bb-8e2feca0d7e7,625558,N/A,
52a24f83-2479-4a98-9928-15c4a684a76e,651752,L,2018
8d6ac079-220e-46dc-a655-c7d1e7771f1b,629823,N/A,
15e6a62f-53a2-4eef-a5f8-b201c14af74f,658013,62,2020
4d6a8326-27cd-4397-b365-792649ee0189,660453,2,2021
40d000c1-760e-4968-8228-7c872df55476,649797,L,2018
1d8ace91-815c-4bde-81e2-4ed7b118151a,271293,N/A,2012
0595d868-c689-4f49-b654-9e0920e0af30,648294,3,2018
7d4f8efe-35ba-4c44-a6e5-454e8a8c159e,609233,1,2009
bc2758d8-f209-48ac-ae05-96933f35d937,652777,L,2019
c4f42b91-a010-47c1-aa90-4196a23c6efb,624940,N/A,
c2abdb1f-7c63-4821-a155-2adbcae898f0,631879,N/A,
fcd92b64-8d97-4b51-9c12-f81fdf3d2a6b,670514,3,2024
3fffd9b1-ba17-46f5-a3cf-c7abbaf12a6a,659131,2,2020
928dfe14-7fd1-4067-9ef6-fe54b7984bcd,630686,N/A,2007
76d9e657-a15e-4a58-b36e-382f34f5e27f,661407,U,2021
7e0f4473-8f93-471a-9bdf-fdf7c7962199,609929,2,2009
2ce22682-290c-4d9f-8f06-dd9ba735f7ec,669367,1,2023
8b88cb7d-1cb3-4044-829f-5adba266f624,658533,L,2020
ea398c4f-f0df-48ff-b143-c2bdc9d75815,630497,N/A,
1ab6a4f8-962c-460c-a7b8-f177c03702a1,661697,2,2021
c94d0a3f-93b8-4894-94dd-d7a2ee1fc0f3,635536,N/A,
9bea1917-93d0-4f41-9447-4c58d412f263,638371,2,2018
c647e06b-1552-47f9-a646-23f9b96ddb78,665208,63,2022
78947e5a-466e-40f2-8083-9decc6d2e346,644384,1,2017
2301c39d-902e-49b5-a5ae-765b8257914f,665228,1,2022
6ee0e02a-1eec-4c49-a83c-756fb15b0081,624267,U,2012
1f9dab4c-de99-434d-a410-28730b811d82,488148,2,1994
846e213c-2c2b-4064-b4de-0cb53ac8de8c,663829,2,2022
