
============================================================
  FETCH CC FROM BROCARDI.IT
  2026-02-04T02:39:27.084581
  Rate limit: 3.0 req/sec
============================================================

Available codici: CC, CP, CPC, CPP, COST, CDS, CCONS, CDPR

Fetching CC...
(This will take a while due to rate limiting)

2026-02-04 02:39:27 [info     ] Crawling hierarchy             base_url=https://www.brocardi.it/codice-civile/
2026-02-04 02:39:51 [info     ] Found articles                 count=3191
  [181/3191] 2.09 art/sec | ETA: 1437s | Art. 168
  [182/3191] 2.10 art/sec | ETA: 1435s | Art. 169
  [183/3191] 2.10 art/sec | ETA: 1433s | Art. 170
  [184/3191] 2.10 art/sec | ETA: 1429s | Art. 171
  [185/3191] 2.11 art/sec | ETA: 1426s | Art. 172
  [186/3191] 2.11 art/sec | ETA: 1424s | Art. 173
  [187/3191] 2.11 art/sec | ETA: 1421s | Art. 174
  [188/3191] 2.12 art/sec | ETA: 1419s | Art. 175
  [189/3191] 2.12 art/sec | ETA: 1416s | Art. 176
  [190/3191] 2.12 art/sec | ETA: 1415s | Art. 177
  [191/3191] 2.13 art/sec | ETA: 1411s | Art. 178
  [192/3191] 2.13 art/sec | ETA: 1410s | Art. 179
  [193/3191] 2.13 art/sec | ETA: 1406s | Art. 180
  [194/3191] 2.14 art/sec | ETA: 1403s | Art. 181
  [195/3191] 2.14 art/sec | ETA: 1401s | Art. 182
  [196/3191] 2.14 art/sec | ETA: 1398s | Art. 183
  [197/3191] 2.14 art/sec | ETA: 1397s | Art. 184
  [198/3191] 2.15 art/sec | ETA: 1394s | Art. 185
  [199/3191] 2.15 art/sec | ETA: 1392s | Art. 186
  [200/3191] 2.15 art/sec | ETA: 1389s | Art. 187
  [201/3191] 2.16 art/sec | ETA: 1387s | Art. 188
  [202/3191] 2.16 art/sec | ETA: 1385s | Art. 189
  [203/3191] 2.16 art/sec | ETA: 1384s | Art. 190
  [204/3191] 2.16 art/sec | ETA: 1381s | Art. 191
  [205/3191] 2.17 art/sec | ETA: 1378s | Art. 192
  [206/3191] 2.17 art/sec | ETA: 1376s | Art. 193
  [207/3191] 2.17 art/sec | ETA: 1374s | Art. 194
  [208/3191] 2.17 art/sec | ETA: 1372s | Art. 195
  [209/3191] 2.18 art/sec | ETA: 1369s | Art. 196
  [210/3191] 2.18 art/sec | ETA: 1367s | Art. 197
  [211/3191] 2.18 art/sec | ETA: 1365s | Art. 198
  [212/3191] 2.19 art/sec | ETA: 1363s | Art. 199
  [213/3191] 2.19 art/sec | ETA: 1361s | Art. 200
  [214/3191] 2.19 art/sec | ETA: 1359s | Art. 201
  [215/3191] 2.19 art/sec | ETA: 1357s | Art. 202
  [216/3191] 2.20 art/sec | ETA: 1355s | Art. 203
  [217/3191] 2.20 art/sec | ETA: 1353s | Art. 204
  [218/3191] 2.20 art/sec | ETA: 1350s | Art. 205
  [219/3191] 2.20 art/sec | ETA: 1348s | Art. 206
  [220/3191] 2.21 art/sec | ETA: 1347s | Art. 207
  [221/3191] 2.21 art/sec | ETA: 1345s | Art. 208
  [222/3191] 2.21 art/sec | ETA: 1343s | Art. 209
  [223/3191] 2.21 art/sec | ETA: 1341s | Art. 210
  [224/3191] 2.22 art/sec | ETA: 1338s | Art. 211
  [225/3191] 2.22 art/sec | ETA: 1337s | Art. 212
  [226/3191] 2.22 art/sec | ETA: 1335s | Art. 213
  [227/3191] 2.22 art/sec | ETA: 1333s | Art. 214
  [228/3191] 2.23 art/sec | ETA: 1332s | Art. 215
  [229/3191] 2.23 art/sec | ETA: 1329s | Art. 216
  [230/3191] 2.23 art/sec | ETA: 1328s | Art. 217
  [231/3191] 2.23 art/sec | ETA: 1326s | Art. 218
  [232/3191] 2.23 art/sec | ETA: 1324s | Art. 219
  [233/3191] 2.24 art/sec | ETA: 1322s | Art. 220
  [234/3191] 2.24 art/sec | ETA: 1320s | Art. 221
  [235/3191] 2.24 art/sec | ETA: 1319s | Art. 222
  [236/3191] 2.24 art/sec | ETA: 1317s | Art. 223
  [237/3191] 2.25 art/sec | ETA: 1315s | Art. 224
  [238/3191] 2.25 art/sec | ETA: 1313s | Art. 225
  [239/3191] 2.25 art/sec | ETA: 1312s | Art. 226
  [240/3191] 2.25 art/sec | ETA: 1310s | Art. 227
  [241/3191] 2.25 art/sec | ETA: 1309s | Art. 228
  [242/3191] 2.26 art/sec | ETA: 1307s | Art. 229
  [243/3191] 2.26 art/sec | ETA: 1306s | Art. 230
  [244/3191] 2.26 art/sec | ETA: 1304s | Art. 230bis
  [245/3191] 2.26 art/sec | ETA: 1302s | Art. 230ter
  [246/3191] 2.27 art/sec | ETA: 1300s | Art. 231
  [247/3191] 2.27 art/sec | ETA: 1298s | Art. 232
  [248/3191] 2.27 art/sec | ETA: 1297s | Art. 233
  [249/3191] 2.27 art/sec | ETA: 1295s | Art. 234
  [250/3191] 2.27 art/sec | ETA: 1294s | Art. 235
  [251/3191] 2.28 art/sec | ETA: 1292s | Art. 236
  [252/3191] 2.28 art/sec | ETA: 1290s | Art. 237
  [253/3191] 2.28 art/sec | ETA: 1289s | Art. 238
  [254/3191] 2.28 art/sec | ETA: 1287s | Art. 239
  [255/3191] 2.28 art/sec | ETA: 1286s | Art. 240
  [256/3191] 2.29 art/sec | ETA: 1284s | Art. 241
  [257/3191] 2.29 art/sec | ETA: 1283s | Art. 242
  [258/3191] 2.29 art/sec | ETA: 1282s | Art. 243
  [259/3191] 2.29 art/sec | ETA: 1280s | Art. 243bis
  [260/3191] 2.29 art/sec | ETA: 1278s | Art. 244
  [261/3191] 2.30 art/sec | ETA: 1276s | Art. 245
  [262/3191] 2.30 art/sec | ETA: 1275s | Art. 246
  [263/3191] 2.30 art/sec | ETA: 1273s | Art. 247
  [264/3191] 2.30 art/sec | ETA: 1272s | Art. 248
  [265/3191] 2.30 art/sec | ETA: 1270s | Art. 249
  [266/3191] 2.30 art/sec | ETA: 1270s | Art. 250
  [267/3191] 2.31 art/sec | ETA: 1268s | Art. 251
  [268/3191] 2.31 art/sec | ETA: 1267s | Art. 252
  [269/3191] 2.31 art/sec | ETA: 1265s | Art. 253
  [270/3191] 2.31 art/sec | ETA: 1263s | Art. 254
  [271/3191] 2.31 art/sec | ETA: 1262s | Art. 255
  [272/3191] 2.32 art/sec | ETA: 1260s | Art. 256
  [273/3191] 2.32 art/sec | ETA: 1259s | Art. 257
  [274/3191] 2.32 art/sec | ETA: 1258s | Art. 258
  [275/3191] 2.32 art/sec | ETA: 1256s | Art. 259
  [276/3191] 2.32 art/sec | ETA: 1255s | Art. 260
  [277/3191] 2.32 art/sec | ETA: 1254s | Art. 261
  [278/3191] 2.33 art/sec | ETA: 1252s | Art. 262
  [279/3191] 2.33 art/sec | ETA: 1251s | Art. 263
  [280/3191] 2.33 art/sec | ETA: 1249s | Art. 264
  [281/3191] 2.33 art/sec | ETA: 1248s | Art. 265
  [282/3191] 2.33 art/sec | ETA: 1247s | Art. 266
  [283/3191] 2.33 art/sec | ETA: 1246s | Art. 267
  [284/3191] 2.34 art/sec | ETA: 1244s | Art. 268
  [285/3191] 2.34 art/sec | ETA: 1244s | Art. 269
  [286/3191] 2.34 art/sec | ETA: 1241s | Art. 270
  [287/3191] 2.34 art/sec | ETA: 1240s | Art. 271
  [288/3191] 2.34 art/sec | ETA: 1239s | Art. 272
  [289/3191] 2.34 art/sec | ETA: 1238s | Art. 273
  [290/3191] 2.35 art/sec | ETA: 1236s | Art. 274
  [291/3191] 2.35 art/sec | ETA: 1235s | Art. 275
  [292/3191] 2.35 art/sec | ETA: 1234s | Art. 276
  [293/3191] 2.35 art/sec | ETA: 1232s | Art. 277
